anime_id,title,english_title,japanese_title,type,episodes,duration,status,source,season,studios,producers,genres,rating,score,scored_by,rank,popularity,members,favorites,watching,completed,on_hold,dropped,plan_to_watch,start_date,end_date,broadcast_day,broadcast_time,synopsis,trailer_url,image_url,approved,explicit_genres,themes,demographics
60543,Dandadan 2nd Season,Dan Da Dan Season 2,ダンダダン 第2期,TV,12,24,Finished Airing,Manga,summer 2025,Science SARU,Aniplex;Dentsu;Shogakukan-Shueisha Productions;Mainichi Broadcasting System;Tohokushinsha Film Corporation;Shueisha,Action;Comedy;Supernatural,R - 17+ (violence & profanity),8.41,284858,216,465,0,3758,0,0,0,0,0,2025-07-04,2025-09-19,Fridays,00:26,"While the mission to exorcise Jin ""Jiji"" Enjouji's family home is underway, things are not going as expected. Momo Ayase narrowly evades an attempted abduction while Ken ""Okarun"" Takakura and Jiji are ambushed by the Kitou family—the unsettling landlords of the cursed estate. The trio's efforts threaten the foundation of this enigmatic town shrouded in legends and mysteries.  As Momo, Okarun, and Jiji are drawn deeper into the maze of folklore and supernatural entities, they must each utilize their unique powers if they want to survive and unravel the secrets of the uncanny town.  [Written by MAL Rewrite]",,https://myanimelist.net/images/anime/1721/149001l.jpg,True,,,Shounen
59062,Gachiakuta,Gachiakuta,ガチアクタ,TV,24,23,Finished Airing,Manga,summer 2025,Bones Film,Bones;Dentsu;Kodansha;AT-X;Avex Pictures;DMM.com;dugout;Team-MAX,Action;Fantasy,PG-13 - Teens 13 or older,8.22,205963,409,540,0,5564,0,0,0,0,0,2025-07-06,2025-12-21,Sundays,23:30,"The inhabitants of a certain wealthy town think nothing of throwing objects away. However, their waste is priceless to Rudo, a resident of the town's slums. Despite the constant warnings from his adoptive father Regto, Rudo spends his days searching for reusable materials that would otherwise be sent to the giant disposal area known as the Pit. Due to its vastness, the Pit doubles as a means of criminal punishment; those dropped in are never to return again.  When Regto is murdered by a mysterious assailant, Rudo is falsely accused of the crime and thrown into the Pit. To his surprise, he awakens in a trash-filled area inhabited by enormous monsters formed from the junk. As the toxic air and Trash Beasts push Rudo to the brink of death, he is saved by Enjin, one of the Cleaners who wield weapons known as Vital Instruments to fight the monstrosities. Having gained his own Vital Instrument, Rudo soon joins the Cleaners in the hopes of finding a way to escape the Pit and avenge his father.  [Written by MAL Rewrite]",,https://myanimelist.net/images/anime/1682/150432l.jpg,True,,,Shounen
53065,Sono Bisque Doll wa Koi wo Suru Season 2,My Dress-Up Darling Season 2,その着せ替え人形は恋をする Season 2,TV,12,23,Finished Airing,Manga,summer 2025,CloverWorks,Aniplex;Square Enix;Movic;Studio Mausu;Tokyo MX;BS11,Romance,PG-13 - Teens 13 or older,8.18,198566,485,570,0,4362,0,0,0,0,0,2025-07-06,2025-09-21,Sundays,00:00,"After Marin Kitagawa introduced Wakana Gojou to the world of cosplay, he has been creating her outfits with ease. Even so, he still has a lot to learn, and every new lesson seems to strengthen his love for sewing and for the hina dolls his grandfather taught him to make.  Meanwhile, Kitagawa finds it harder and harder to hide her feelings for Gojou. Friends and strangers alike constantly mistake them for a couple, much to Gojou's embarrassment. After all, in his eyes, their worlds are far too different for anyone to think they could be romantically linked. However, as Gojou spends more time with Kitagawa and realizes that his passions are not ridiculed by other people, a relationship between the two no longer seems so far-fetched.  [Written by MAL Rewrite]",,https://myanimelist.net/images/anime/1024/150787l.jpg,True,,Otaku Culture;School,Seinen
57555,Chainsaw Man Movie: Reze-hen,Chainsaw Man – The Movie: Reze Arc,劇場版 チェンソーマン レゼ篇,Movie,1,1,Finished Airing,Manga,None None,MAPPA,,Action;Fantasy,R - 17+ (violence & profanity),9.08,283948,4,588,0,12985,0,0,0,0,0,2025-09-19,,,,"Despite the immediate challenges following becoming a devil hunter with the Public Safety Bureau, Denji has quickly adapted to his new life and responsibilities. As the chaos of Denji's first ordeal with Public Safety settles down, the elite devil hunter Makima decides to take Denji out on a date. Although the date strengthens his affection for Makima and he swears to not fall in love with anyone else, Denji soon finds himself in a tricky situation when he meets a seemingly innocent cafe worker named Reze.  With her forward and flirty demeanor, Reze immediately captures Denji's heart, driving him to frequent the cafe where she works and deepen his relationship with her. However, Denji is completely oblivious to the fact that meeting Reze might have grave consequences beyond simply deciding which woman his heart belongs to.   [Written by MAL Rewrite]",,https://myanimelist.net/images/anime/1763/150638l.jpg,True,,Gore;Urban Fantasy,Shounen
59845,Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms with Dignity,薫る花は凛と咲く,TV,13,24,Finished Airing,Web manga,summer 2025,CloverWorks,Aniplex;Kodansha;Movic;Magic Capsule;Tokyo MX;BS11;Marui Group,Drama;Romance,PG-13 - Teens 13 or older,8.53,215158,147,601,0,8440,0,0,0,0,0,2025-07-06,2025-09-28,Sundays,00:30,"The all-girls Kikyo Private Academy and Chidori Public High School are polar opposites. With its prestigious history, Kikyo is attended by noble young ladies from distinguished families, while Chidori is infamously full of simple-minded delinquents. It is no surprise that their students clash with their differences.  Having a tall stature and fierce appearance, Chidori student Rintarou Tsumugi is often avoided by others despite his gentle heart. One day, while helping out at his family's patisserie, he meets a customer who, after a brief moment, runs away from him. The next day, the customer returns to apologize to Rintarou, introducing herself as the cheerful Kaoruko Waguri.  After spending time with Kaoruko, Rintarou appreciates that she does not judge him based on his appearance and looks forward to when they will meet again. However, when Rintarou discovers Kaoruko attends Kikyo, their relationship will challenge the social expectations and dynamics around them.  [Written by MAL Rewrite]",,https://myanimelist.net/images/anime/1744/150433l.jpg,True,,School,
59192,Kimetsu no Yaiba Movie 1: Mugenjou-hen - Akaza Sairai,Demon Slayer: Kimetsu no Yaiba - The Movie: Infinity Castle - Part 1: Akaza Returns,劇場版 鬼滅の刃 無限城編 第一章 猗窩座再来,Movie,1,2,Finished Airing,Manga,None None,ufotable,Aniplex;Shueisha,Action;Award Winning;Supernatural,R - 17+ (violence & profanity),8.67,185512,81,751,0,3412,0,0,0,0,0,2025-07-18,,,,First anime movie of the trilogy adaptation of the Infinity Castle Arc.,,https://myanimelist.net/images/anime/1681/148216l.jpg,True,,Historical,Shounen
59177,Kaijuu 8-gou 2nd Season,Kaiju No. 8 Season 2,怪獣8号 第2期,TV,11,23,Finished Airing,Manga,summer 2025,Production I.G,TV Tokyo;Khara;Nippon Columbia;TOHO animation;Shueisha;Sonilude;Toho Music,Action;Fantasy;Sci-Fi,PG-13 - Teens 13 or older,7.79,164951,1182,760,0,1686,0,0,0,0,0,2025-07-19,2025-09-27,Saturdays,23:00,"Following the massive operation that led to the confinement of recent recruit Kafka Hibino, otherwise known as Kaijuu No. 8, the Defense Force has been puzzled by how to deal with him. Kafka is the first kaijuu to side with humans, and after careful consideration, he is eventually transferred to the Defense Force's First Division in the hope of adding his power to the strongest division, capable of handling any threat. However, some people are still doubtful about Kafka, and he must prove his worth in the next mission.  Kafka and the First Division are soon dispatched when a massive horde of ant-like kaijuu begins wreaking havoc. Thanks to the combined strength of Kafka's friend Kikoru Shinomiya and their captain, Gen Narumi, the mission seems to progress as it should. However, when Kafka fails to transform into his kaijuu form, the dreadful Kaijuu No. 9 joins the battle with only one goal—to eliminate him and steal his power. Although the situation is looking grim, Kafka must overcome his most difficult trial yet with the others if he wants to keep pursuing his dream: fighting side by side with his childhood friend and Third Division captain, Mina Ashiro.  [Written by MAL Rewrite]",,https://myanimelist.net/images/anime/1177/150344l.jpg,True,,Adult Cast;Military;Urban Fantasy,Shounen
58913,Hikaru ga Shinda Natsu,The Summer Hikaru Died,光が死んだ夏,TV,12,22,Finished Airing,Web manga,summer 2025,CygamesPictures,Nippon Television Network;CyberAgent;Kadokawa;dugout,Horror;Mystery;Supernatural,R - 17+ (violence & profanity),8.02,107880,715,960,0,4072,0,0,0,0,0,2025-07-06,2025-09-28,Sundays,00:55,"It has been six months since Yoshiki Tsujinaka's best friend, Hikaru Indou, went missing in the mountains and returned a week later with no recollection of what had transpired. Certain that it is not the Hikaru he knows who came back, Yoshiki finally asks Hikaru about it. Suddenly, ""Hikaru"" reveals his true monstrous form and begs Yoshiki to keep it a secret, as he does not want to kill him.  Despite his paranormal nature, ""Hikaru"" seems almost innocent, full of childlike wonder and eager to experience the summer heat, the countryside, and all kinds of other things in a human body for the first time. And for Yoshiki, it matters little if ""Hikaru"" is a fake relying on stolen memories—as long as he never leaves again. As Yoshiki desperately clings to ""Hikaru"" in his intense grief, it becomes increasingly clear that something dangerous and supernatural may have descended from the mountains into their village.  [Written by MAL Rewrite]",,https://myanimelist.net/images/anime/1104/148614l.jpg,True,,,
60285,Sakamoto Days Part 2,Sakamoto Days Part 2,SAKAMOTO DAYS 第２クール,TV,11,25,Finished Airing,Manga,summer 2025,TMS Entertainment,TV Tokyo;Shueisha,Action;Comedy,R - 17+ (violence & profanity),7.91,112365,906,1132,0,847,0,0,0,0,0,2025-07-15,2025-09-23,Tuesdays,00:00,"The legendary former hitman Tarou Sakamoto has thwarted numerous assassins after an enormous bounty on his head was issued. But he cannot seem to catch a break and simply take it easy with his beloved family. A mysterious and infamous figure known as Slur has brought a group of insane death row inmates to Japan, who hold back from nothing to eliminate their targets.  Sakamoto is not the only target—the criminals have been assigned to kill various other people, including the new hires at Sakamoto's convenience store, Shin Asakura and Lu Shaotang. The situation escalates even further when the Order, a group of the most skilled Japanese assassins, becomes involved. As the inmates begin wreaking havoc, Sakamoto and his allies must remain vigilant for the sake of everything they hold dear.  [Written by MAL Rewrite]",,https://myanimelist.net/images/anime/1758/148719l.jpg,True,,Adult Cast;Organized Crime,Shounen
58390,Yofukashi no Uta Season 2,Call of the Night Season 2,よふかしのうた Season2,TV,12,22,Finished Airing,Manga,summer 2025,LIDENFILMS,Aniplex;Dentsu;Shogakukan-Shueisha Productions;Animax;Fuji TV;Ultra Super Pictures;Tohokushinsha Film Corporation;Fujipacific Music;Shogakukan;Fuji Creative;Tohan Corporation,Romance;Supernatural,PG-13 - Teens 13 or older,8.34,90285,288,1180,0,1698,0,0,0,0,0,2025-07-04,2025-09-19,Fridays,23:30,"A human may become a vampire only if they fall in love with one—and 14-year-old Kou Yamori wishes for nothing more. Kou has decided to fall in love with a vampire named Nazuna Nanakusa, and he has only 10 months of nightly rendezvous left to realize his goal.  Kou's friends, Mahiru Seki and Akira Asai, are slowly coming to terms with the existence of vampires and Kou's decision to become one. As Kou realizes that a woman close to Mahiru is a vampire, he is unsure whether to support this relationship.  Meanwhile, Anko Uguisu, the human detective bent on killing vampires, closes in on Nazuna and her coven. When an encounter leaves one of the vampires seriously injured, they learn that their human memories hold the key to a weakness that can be their demise—and to protect Nazuna, Kou must find out about her past.  [Written by MAL Rewrite]",,https://myanimelist.net/images/anime/1509/148453l.jpg,True,,Vampire,Shounen
