anime_id,title,english_title,japanese_title,type,episodes,duration,status,source,season,studios,producers,genres,rating,score,scored_by,rank,popularity,members,favorites,watching,completed,on_hold,dropped,plan_to_watch,start_date,end_date,broadcast_day,broadcast_time,synopsis,trailer_url,image_url,approved,explicit_genres,themes,demographics
59978,Sousou no Frieren 2nd Season,Frieren: Beyond Journey's End Season 2,葬送のフリーレン 第2期,TV,10.0,24,Finished Airing,Manga,winter 2026,Madhouse,Aniplex;Dentsu;Shogakukan-Shueisha Productions;Nippon Television Network;TOHO animation;Sound Team Don Juan;Miracle Bus;Shogakukan;TOHO Music,Adventure;Drama;Fantasy,PG-13 - Teens 13 or older,8.86,266535,31,436,0,7627,0,0,0,0,0,2026-01-16,2026-03-27,Fridays,23:00,"Following the First-Class Mage Exam, the trio—elven mage Frieren, warrior Stark, and first-class mage Fern—gains access to the dangerous Northern Plateau. As the party presses onward toward Aureole, formidable adversaries force Stark to confront his insecurities, solidifying his resolve and his role as the party's frontliner. Meanwhile, Fern continues to cherish the gifts she has been blessed with throughout her life, each a reminder of those she holds dear.  Frieren—still honoring her vow to understand humanity—revisits memories of her journey with the Hero's party and her fleeting encounter with a legendary figure. As she reflects on the passage of time, the elven mage quietly questions whether she has truly changed, yet in the small, almost subtle choices that she makes, there are signs that she might have become more human than she realizes.  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/1921/154528l.jpg,True,,,Shounen
57658,Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen,Jujutsu Kaisen: The Culling Game Part 1,呪術廻戦 「死滅回游 前編」,TV,12.0,23,Finished Airing,Manga,winter 2026,MAPPA,Mainichi Broadcasting System;TOHO animation;Shueisha;dugout;TOHO Music;Sumzap,Action;Supernatural,R - 17+ (violence & profanity),8.61,268965,106,475,0,4240,0,0,0,0,0,2026-01-09,2026-03-27,Fridays,00:26,"Kenjaku, the one known as Noritoshi Kamo and most recently as Suguru Getou, has initiated the next step in his destructive, thousand-year plan of ordinary humans' evolution and eventual eradication. The jujutsu world higher-ups reinstate 15-year-old Yuuji Itadori's execution, as Satoru Gojou is incapacitated as a result of Kenjaku's master plan in Shibuya. While Yuuji is unaware of this, he patrols the abandoned Tokyo streets with Chousou, exterminating any and all cursed spirits in his way.  Meanwhile, the bigoted and arrogant Naoya Zenin's pride takes a hit when Megumi Fushiguro is selected as the Zenin Clan's next head. To draw out Megumi and eliminate him, he goes after Yuuji—but Yuuta Okkotsu is set on being Yuuji's executioner. Kenjaku's ""Culling Game""—a rigorous battle royale spanning throughout Japan and forcing the jujutsu competitors to kill each other—is set in motion, and the young jujutsu sorcerers join the fray to settle old scores, free Gojou, and liberate the jujutsu world from the threat that is Kenjaku.  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/1659/154920l.jpg,True,,,Shounen
55825,Jigokuraku 2nd Season,Hell's Paradise Season 2,地獄楽第二期,TV,12.0,24,Finished Airing,Manga,winter 2026,MAPPA,Fujipacific Music;Twin Engine;dugout,Action;Adventure;Supernatural,R - 17+ (violence & profanity),8.16,147981,512,678,0,3066,0,0,0,0,0,2026-01-11,2026-03-29,Sundays,23:45,"Seeking the key to the elixir of immortality, the group arrives at the fortress of the island's monstrous ruler, the ""Tensen."" To survive and escape the island, cooperation becomes essential—regardless of whether one is a condemned criminal or an executioner.  Meanwhile, the shogunate orders additional landings on the island of the Immortal Realm, led by Shugen Yamada Asayemon. Among them are the Ishigakure clan, who share a past with Gabimaru.  Desperate to find the elixir and escape the island, Gabimaru and his companions face the Tensen in a battle that escalates into an all-out confrontation between humans and immortals!  (Source: Twin Engine, edited)",,https://cdn.myanimelist.net/images/anime/1772/154456l.jpg,True,,Gore;Historical;Samurai,Shounen
56009,Yuusha-kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku,Sentenced to Be a Hero,勇者刑に処す 懲罰勇者9004隊刑務記録,TV,12.0,27,Finished Airing,Light novel,winter 2026,Studio KAI,Sammy;Kansai TV;Bit grooove promotion,Action;Adventure;Fantasy,R - 17+ (violence & profanity),8.14,146045,542,843,0,1781,0,0,0,0,0,2026-01-03,2026-03-26,Thursdays,22:30,"In a world where the title of Hero is treated as a punishment rather than an honor, the worst criminals are sentenced to the front lines of an endless war against the Demon Lords. Branded as Heroes, they are forced into military service without even the mercy of death, condemned to be revived and sent back into battle forever.  Among them is Xylo Forbartz, once a respected commander of the Holy Knights. Now the leader of Penal Hero Unit 9004, he commands a squad of convicts considered expendable by the very nation they serve. During one chaotic mission, he encounters Teoritta, a living weapon known as a Goddess, whose presence threatens to shift the balance of both the war and his own fate.  As the unit is sent on increasingly dangerous operations, Xylo must balance leading his unit, surviving the battles he finds himself in, and uncovering the truth behind his own sentencing.  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/1062/151911l.jpg,True,,,
60058,[Oshi no Ko] 3rd Season,[Oshi No Ko] Season 3,【推しの子】 第3期,TV,11.0,27,Finished Airing,Manga,winter 2026,Doga Kobo,Delfi Sound;Shueisha;CyberAgent;Kadokawa,Drama,PG-13 - Teens 13 or older,8.69,122344,74,999,0,2277,0,0,0,0,0,2026-01-14,2026-03-25,Wednesdays,23:00,"Satisfied with his investigation of Lala Lai Theatrical Company, Aquamarine ""Aqua"" Hoshino shifts his focus from revenge to career growth and becomes a regular on the variety show Dig Deep! Chase the Impawsible. With memories of his mother still lingering in his mind, Aqua cuts contact with Kana Arima, leaving her unable to enjoy the surging popularity of her idol group, B-Komachi.  Meanwhile, following the bone-chilling discovery during B-Komachi's recent music video shoot, Aqua's sister, Ruby, resolves to solve the murders of those dearest to her. With the help of another soul still weighed down by Ai Hoshino's untimely demise, Ruby rises through the ranks, using any means necessary to get her way.  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/1979/153329l.jpg,True,,Reincarnation;Showbiz,Seinen
60371,Seihantai na Kimi to Boku,You and I Are Polar Opposites,正反対な君と僕,TV,12.0,24,Finished Airing,Manga,winter 2026,Lapin Track,Dentsu;Shochiku;Mainichi Broadcasting System;Tohokushinsha Film Corporation;Shueisha;Shochiku Music Publishing;AbemaTV,Comedy;Romance,PG-13 - Teens 13 or older,8.28,106536,358,1275,0,1868,0,0,0,0,0,2026-01-11,2026-03-29,Sundays,17:00,"Miyu Suzuki is a high school girl whose cheerful outlook on life is tempered by her need to fit in. Coincidentally, beside her in the classroom sits Yuusuke Tani, a boy unconcerned with others' expectations. Their exchanges rarely extend beyond brief discourse, yet the polarity of their demeanors unexpectedly draws them to one another.  As their mutual interest grows, the newfound feelings are no longer easy to ignore. Eventually, Suzuki voices what is inside her heart, forcing both of them to confront the unspoken affection between them. With each passing moment, their relationship evolves, and they gradually come to better understand themselves and the person who is their polar opposite.  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/1140/154457l.jpg,True,,School,Shounen
61469,Steel Ball Run: JoJo no Kimyou na Bouken,Steel Ball Run: JoJo's Bizarre Adventure,スティール・ボール・ラン ジョジョの奇妙な冒険,ONA,,47,Currently Airing,Manga,None None,David Production,Warner Bros. Japan;Studio Mausu;ONEMUSIC,Action;Adventure;Mystery;Supernatural,R - 17+ (violence & profanity),9.1,100196,4,1295,0,7585,0,0,0,0,0,2026-03-19,,,,"In the American Old West, the world's greatest race is about to begin. Thousands line up in San Diego to travel over six thousand kilometers for a chance to win the grand prize of fifty million dollars. With the era of the horse reaching its end, contestants are allowed to use any kind of vehicle they wish. Competitors will have to endure grueling conditions, traveling up to a hundred kilometers a day through uncharted wastelands. The Steel Ball Run is truly a one-of-a-kind event.  The youthful Johnny Joestar, a crippled former horse racer, has come to San Diego to watch the start of the race. There he encounters Gyro Zeppeli, a racer with two steel balls at his waist instead of a gun. Johnny witnesses Gyro using one of his steel balls to unleash a fantastical power, compelling a man to fire his gun at himself during a duel. In the midst of the action, Johnny happens to touch the steel ball and feels a power surging through his legs, allowing him to stand up for the first time in two years. Vowing to find the secret of the steel balls, Johnny decides to compete in the race, and so begins his bizarre adventure across America on the Steel Ball Run.  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/1448/154111l.jpg,True,,Historical;Racing,Seinen;Shounen
59229,Enen no Shouboutai: San no Shou Part 2,Fire Force Season 3 Part 2,炎炎ノ消防隊 参ノ章 第2クール,TV,13.0,24,Finished Airing,Manga,winter 2026,David Production,Mainichi Broadcasting System;Kodansha;Magic Capsule;Crunchyroll;DMM.com;ADK Marketing Solutions;Sankyo,Action;Fantasy;Sci-Fi,PG-13 - Teens 13 or older,8.11,81521,577,1359,0,763,0,0,0,0,0,2026-01-10,2026-04-04,Saturdays,01:53,Second part of Enen no Shouboutai: San no Shou.,,https://cdn.myanimelist.net/images/anime/1508/152472l.jpg,True,,Urban Fantasy,Shounen
55830,Fate/strange Fake,Fate/strange Fake,Fate/strange Fake,TV,13.0,24,Finished Airing,Light novel,winter 2026,A-1 Pictures,Aniplex;Notes;Tokyo MX;BS11;Contents Seed;INSPION Edge,Action;Fantasy,R - 17+ (violence & profanity),8.28,68127,354,1529,0,1185,0,0,0,0,0,2026-01-03,2026-03-28,Saturdays,23:30,"A new Holy Grail War is emerging in Snowfield, Nevada, where mages from around the world summon Servants, heroic spirits drawn from myth and history, to fight on their behalf. However, this war seems to differ from previous ones. The organization behind it appears to have used data from the Fuyuki Grail War for their ritual, resulting in strange happenings.   Unbeknownst to most participants, this budding conflict is actually a fake Grail War. There exists another set of seven true Servants who are summoned to fight in the genuine Holy Grail War. One of these Servants is a powerful Saber-class who saves the life of Ayaka Sajou, his apparent master, after being summoned.   With hidden agendas and unpredictable forces at play, the line between the fake and true Grail War becomes unclear, turning Snowfield into a dangerous battlefield.  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/1752/150192l.jpg,True,,Urban Fantasy,
61128,Yuusha Party wo Oidasareta Kiyoubinbou,"Jack-of-All-Trades, Party of None",勇者パーティを追い出された器用貧乏,TV,12.0,23,Finished Airing,Light novel,winter 2026,animation studio42,Lantis;Kodansha;Glovision;Crunchyroll;Bandai Namco Filmworks;Bandai Namco Music Live,Action;Adventure;Fantasy,PG-13 - Teens 13 or older,6.65,71971,7001,1846,0,352,0,0,0,0,0,2026-01-04,2026-03-22,Sundays,22:30,"""Orhun Dura, today will be your last day in the party.""  Orhun, once a skilled Swordsman, had adapted to the role of Enchanter to fill a crucial gap in the Hero Party. However, one day, the party leader abruptly dismisses him, claiming his skills are lacking. Branded a ""weakling"" and a ""jack of all trades, master of none,"" by his former comrades, Orhun is cast out without a second thought.  Determined to start anew, he returns to adventuring—this time as a Swordsman, the role he originally excelled in. But his time as an Enchanter was far from wasted. The experience, knowledge, and countless original spells he developed in the Hero Party have forged him into a warrior unlike any other. Now, armed with an unconventional set of skills, Orhun is ready to carve his own path—one that will prove his true strength to the world.  (Source: MAL News)",,https://cdn.myanimelist.net/images/anime/1486/153135l.jpg,True,,,
