anime_id,title,english_title,japanese_title,type,episodes,duration,status,source,season,studios,producers,genres,rating,score,scored_by,rank,popularity,members,favorites,watching,completed,on_hold,dropped,plan_to_watch,start_date,end_date,broadcast_day,broadcast_time,synopsis,trailer_url,image_url,approved,explicit_genres,themes,demographics
31964,Boku no Hero Academia,My Hero Academia,僕のヒーローアカデミア,TV,13.0,24,Finished Airing,Manga,spring 2016,Bones,Dentsu;Mainichi Broadcasting System;Movic;TOHO animation;Shueisha,Action,PG-13 - Teens 13 or older,7.83,2215100.0,1031.0,7,0,54845,0,0,0,0,0,2016-04-03,2016-06-26,Sundays,17:00,"The appearance of ""quirks,"" newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting. This leaves the remainder of the world completely powerless, and Izuku Midoriya is one such individual.  Since he was a child, the ambitious middle schooler has wanted nothing more than to be a hero. Izuku's unfair fate leaves him admiring heroes and taking notes on them whenever he can. But it seems that his persistence has borne some fruit: Izuku meets the number one hero and his personal idol, All Might. All Might's quirk is a unique ability that can be inherited, and he has chosen Izuku to be his successor!  Enduring many months of grueling training, Izuku enrolls in UA High, a prestigious high school famous for its excellent hero training program, and this year's freshmen look especially promising. With his bizarre but talented classmates and the looming threat of a villainous organization, Izuku will soon learn what it really means to be a hero.  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/10/78745l.jpg,True,,School;Super Power,Shounen
31240,Re:Zero kara Hajimeru Isekai Seikatsu,Re:ZERO -Starting Life in Another World-,Re:ゼロから始める異世界生活,TV,25.0,26,Finished Airing,Light novel,spring 2016,White Fox,TV Tokyo;Media Factory;Kadokawa Shoten;AT-X;Magic Capsule;Memory-Tech;Hakuhodo DY Music & Pictures,Drama;Fantasy;Suspense,R - 17+ (violence & profanity),8.24,1545978.0,370.0,23,0,74796,0,0,0,0,0,2016-04-04,2016-09-19,Mondays,01:05,"When Subaru Natsuki leaves the convenience store, the last thing he expects is to be wrenched from his everyday life and dropped into a fantasy world. Things are not looking good for the bewildered teenager; however, not long after his arrival, he is attacked by some thugs. Armed with only a bag of groceries and a now useless cell phone, he is quickly beaten to a pulp. Fortunately, a mysterious beauty named Satella, in hot pursuit after the one who stole her insignia, happens upon Subaru and saves him. In order to thank the honest and kindhearted girl, Subaru offers to help in her search, and later that night, he even finds the whereabouts of that which she seeks. But unbeknownst to them, a much darker force stalks the pair from the shadows, and just minutes after locating the insignia, Subaru and Satella are brutally murdered.  However, Subaru immediately reawakens to a familiar scene—confronted by the same group of thugs, meeting Satella all over again—the enigma deepens as history inexplicably repeats itself.  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/1522/128039l.jpg,True,,Isekai;Psychological;Time Travel,
31478,Bungou Stray Dogs,Bungo Stray Dogs,文豪ストレイドッグス,TV,12.0,23,Finished Airing,Manga,spring 2016,Bones,Lantis;Movic;KlockWorx;Bandai Namco Live Creative;Glovision;Lawson HMV Entertainment;Sony PCL;Kadokawa,Action;Mystery,R - 17+ (violence & profanity),7.8,781481.0,1100.0,90,0,28934,0,0,0,0,0,2016-04-07,2016-06-23,Thursdays,01:05,"For weeks, Atsushi Nakajima's orphanage has been plagued by a mystical tiger that only he seems to be unaware of. Suspected to be behind the strange incidents, the 18-year-old is abruptly kicked out of the orphanage and left hungry, homeless, and wandering through the city.  While starving on a riverbank, Atsushi saves a rather eccentric man named Osamu Dazai from drowning. Whimsical suicide enthusiast and supernatural detective, Dazai has been investigating the same tiger that has been terrorizing the boy. Together with Dazai's partner Doppo Kunikida, they solve the mystery, but its resolution leaves Atsushi in a tight spot. As various odd events take place, Atsushi is coerced into joining their firm of supernatural investigators, taking on unusual cases the police cannot handle, alongside his numerous enigmatic co-workers.  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/3/79409l.jpg,True,,Adult Cast;Detective;Organized Crime;Super Power,Seinen
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,JoJo's Bizarre Adventure: Diamond Is Unbreakable,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,TV,39.0,23,Finished Airing,Manga,spring 2016,David Production,Warner Bros. Japan;KlockWorx;Medicos Entertainment;Shueisha,Action;Adventure,R - 17+ (violence & profanity),8.5,860959.0,157.0,129,1246418,43080,65104,1049683,18674,11741,101216,2016-04-02,2016-12-24,Saturdays,00:30,"The year is 1999. Morioh, a normally quiet and peaceful town, has recently become a hotbed of strange activity. Joutarou Kuujou, now a marine biologist, heads to the mysterious town to meet Jousuke Higashikata. While the two may seem like strangers at first, Jousuke is actually the illegitimate child of Joutarou's grandfather, Joseph Joestar. When they meet, Joutarou realizes that he may have more in common with Jousuke than just a blood relation.  Along with the mild-mannered Kouichi Hirose and the boisterous Okuyasu Nijimura, the group dedicates themselves to investigating recent disappearances and other suspicious occurrences within Morioh. Aided by the power of Stands, the four men will encounter danger at every street corner, as it is up to them to unravel the town's secrets, before another occurs.  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/3/79156l.jpg,True,,Super Power,Shounen
28623,Koutetsujou no Kabaneri,Kabaneri of the Iron Fortress,甲鉄城のカバネリ,TV,12.0,22,Finished Airing,Original,spring 2016,Wit Studio,Aniplex;Dentsu;Fuji TV;Kyoraku Industrial Holdings;Kansai TV,Action;Fantasy;Horror;Suspense,R - 17+ (violence & profanity),7.28,457529.0,3099.0,238,876658,3913,57476,574753,19054,32352,193023,2016-04-08,2016-07-01,Fridays,00:55,"The world is in the midst of the industrial revolution when horrific creatures emerge from a mysterious virus, ripping through the flesh of humans to sate their never-ending appetite. The only way to kill these beings, known as ""Kabane,"" is by destroying their steel-coated hearts. However, if bitten by one of these monsters, the victim is doomed to a fate worse than death, as the fallen rise once more to join the ranks of their fellow undead.  Only the most fortified of civilizations have survived this turmoil, as is the case with the island of Hinomoto, where mankind has created a massive wall to protect themselves from the endless hordes of Kabane. The only way into these giant fortresses is via heavily-armored trains, which are serviced and built by young men such as Ikoma. Having created a deadly weapon that he believes will easily pierce through the hearts of Kabane, Ikoma eagerly awaits the day when he will be able to fight using his new invention. Little does he know, however, that his chance will come much sooner than he expected...  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/12/79164l.jpg,True,,Gore;Historical;Survival,
32542,Sakamoto desu ga?,Haven't You Heard? I'm Sakamoto,坂本ですが？,TV,12.0,24,Finished Airing,Manga,spring 2016,Studio Deen,TBS;DAX Production;Daiichikosho;King Records;NichiNare;Kadokawa,Comedy,PG-13 - Teens 13 or older,7.54,411964.0,1910.0,267,0,2828,0,0,0,0,0,2016-04-08,2016-07-01,Fridays,02:28,"Sophisticated, suave, sublime; all words which describe the exceedingly handsome and patently perfect Sakamoto. Though it is only his first day in high school, his attractiveness, intelligence, and charm already has the girls swooning and the guys fuming with jealousy. No one seems able to derail him, as all attempts at tripping him up are quickly foiled. His sangfroid is indomitable, his wits peerless. Will any of Sakamoto's classmates, or even teachers, be able to reach his level of excellence? Probably not, but they just might learn a thing or two trying...  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/4/79468l.jpg,True,,Gag Humor;School,Seinen
31798,Kiznaiver,Kiznaiver,キズナイーバー,TV,12.0,24,Finished Airing,Original,spring 2016,Trigger,Aniplex;Movic;Ultra Super Pictures;Sammy;Asahi Broadcasting;BS11;Crunchyroll,Drama;Romance;Sci-Fi,PG-13 - Teens 13 or older,7.36,378851.0,2661.0,283,791983,5237,47433,475586,22606,31821,214537,2016-04-09,2016-06-25,Saturdays,23:30,"Katsuhira Agata is a quiet and reserved teenage boy whose sense of pain has all but vanished. His friend, Chidori Takashiro, can only faintly remember the days before Katsuhira had undergone this profound change. Now, his muffled and complacent demeanor make Katsuhira a constant target for bullies, who exploit him for egregious sums of money. But their fists only just manage to make him blink, as even emotions are far from his grasp.  However, one day Katsuhira, Chidori, and four other teenagers are abducted and forced to join the Kizuna System as official ""Kiznaivers."" Those taking part are connected through pain: if one member is injured, the others will feel an equal amount of agony. These individuals must become the lab rats and scapegoats of an incomplete system designed with world peace in mind. With their fates literally intertwined, the Kiznaivers must expose their true selves to each other, or risk failing much more than just the Kizuna System.  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/1085/147246l.jpg,True,,,
31404,Netoge no Yome wa Onnanoko ja Nai to Omotta?,And you thought there is never a girl online?,ネトゲの嫁は女の子じゃないと思った？,TV,12.0,24,Finished Airing,Light novel,spring 2016,Project No.9,Sotsu;AT-X;Barnum Studio;DAX Production;ASCII Media Works;NBCUniversal Entertainment Japan;i0+;Medicos Entertainment;Radio Osaka,Comedy;Romance;Ecchi,PG-13 - Teens 13 or older,6.66,304895.0,6469.0,418,0,1299,0,0,0,0,0,2016-04-07,2016-06-23,Thursdays,23:00,"After mustering up the courage to propose to a girl in an online game, naive otaku Hideki ""Rusian"" Nishimura is devastated when she flat-out rejects him. To make matters worse, the girl reveals that she is actually an older man in real life. With his dreams crushed and his heart broken, Rusian comes to an abrupt decision in the midst of his raging fit: he will never trust another girl in an online game again.  Years later, Rusian is now in a guild with three other players, one of whom possesses a female avatar by the name of Ako. Ako is deeply in love with Rusian and wants to marry him. Although he entertains the possibility that she might be a guy, Rusian accepts her proposal, claiming that her gender does not matter as long as she is cute in-game. However, after a discussion between the guild members that led to all of them having an offline meeting, Rusian finds out that Ako, along with the other members, is not just a girl but also his schoolmate.  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/3/79414l.jpg,True,,School;Video Game,
32105,Sousei no Onmyouji,Twin Star Exorcists,双星の陰陽師,TV,50.0,24,Finished Airing,Manga,spring 2016,Studio Pierrot,TV Tokyo;Nihon Ad Systems;TV Tokyo Music;Avex Pictures;Shueisha,Action;Fantasy;Romance,PG-13 - Teens 13 or older,7.29,227740.0,3048.0,452,0,3129,0,0,0,0,0,2016-04-06,2017-03-29,Wednesdays,18:25,"Magano, a parallel realm filled with monsters known as ""Kegare,"" is a place where exorcists deal with all impurities. Benio Adashino is a prodigy exorcist who is recognized for her strength and is summoned to Tokyo by the Exorcist Union. On her way, she plummets into the arms of Rokuro Enmadou, a young exorcist with a troubled past.  But the impurities of Magano do not rest. When these two exorcists witness a couple of children stolen by a Kegare, Benio rushes to save them, dragging Rokuro along with her into Magano. Engaged in a fight she is on the verge of being defeated in, Benio is saved by Rokuro, revealing himself capable of being her rival in talent.  Sousei no Onmyouji tells the story of two talented exorcists who are destined to become the ""Twin Star Exorcists"" and the prophesised parents of the Miko—the reincarnation of Abe no Seimei—who will cleanse the world of all impurities.  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/12/79556l.jpg,True,,Mythology;Urban Fantasy,Shounen
31741,Magi: Sinbad no Bouken (TV),Magi: Adventure of Sinbad,マギ シンドバッドの冒険,TV,13.0,24,Finished Airing,Manga,spring 2016,Lay-duce,Aniplex;Mainichi Broadcasting System;Shogakukan,Action;Adventure;Fantasy,PG-13 - Teens 13 or older,7.83,273388.0,1040.0,488,513965,1609,22856,377501,9673,8659,95276,2016-04-16,2016-07-02,Saturdays,02:25,"In the small, impoverished Tison Village of the Parthevia Empire, a boy, Sinbad, is born to the jaded ex-soldier Badr and his kind-hearted wife Esra. His birth creates a radiant surge throughout the rukh, a declaration of a singularity to those who stand at the pinnacle of magical might: the ""Child of Destiny"" is here. Despite his country being plagued by economic instability and the repercussions of war, Sinbad leads a cheerful life—until a stranger's arrival shatters his peaceful world, and tragedy soon befalls him.  Years later, mysterious edifices called ""dungeons"" have been erected all over the world. Rumored to contain great power and treasures, these dungeons piqued the interest of adventurers and armies alike; though to this day, none have returned therefrom. Sinbad, now 14, has grown into a charming and talented young boy. Inspired by the shocking events of his childhood and by his father's words, he yearns to begin exploring the world beyond his village. As though orchestrated by fate, Sinbad meets an enigmatic traveler named Yunan. Stirred by Sinbad's story and ambitions, Yunan directs him to a dungeon which he claims holds the power Sinbad needs to achieve his goals—the ""power of a king.""  Magi: Sinbad no Bouken tells the epic saga of Sinbad's early life as he travels the world, honing his skill and influence, while gathering allies and power to become the High King of the Seven Seas.  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/10/78783l.jpg,True,,,Shounen
