anime_id,title,english_title,japanese_title,type,episodes,duration,status,source,season,studios,producers,genres,rating,score,scored_by,rank,popularity,members,favorites,watching,completed,on_hold,dropped,plan_to_watch,start_date,end_date,broadcast_day,broadcast_time,synopsis,trailer_url,image_url,approved,explicit_genres,themes,demographics
59978,Sousou no Frieren 2nd Season,Frieren: Beyond Journey's End Season 2,葬送のフリーレン 第2期,TV,,0,Not yet aired,Manga,winter 2026,Madhouse,TOHO animation,Adventure;Drama;Fantasy,PG-13 - Teens 13 or older,,,,928,294244,2867,714,7,74,4,293445,2026-01-16,,Fridays,23:00,Second season of Sousou no Frieren.,,https://cdn.myanimelist.net/images/anime/1921/154528l.jpg,True,,,Shounen
57658,Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen,Jujutsu Kaisen: The Culling Game Part 1,呪術廻戦 「死滅回游 前編」,TV,,23,Currently Airing,Manga,winter 2026,MAPPA,Mainichi Broadcasting System;TOHO animation;Shueisha;dugout;Toho Music;Sumzap,Action;Supernatural,R - 17+ (violence & profanity),8.67,19711.0,78.0,1008,273790,1285,109298,11,911,194,163376,2026-01-09,,Fridays,00:26,Sequel to Jujutsu Kaisen 2nd Season.,,https://cdn.myanimelist.net/images/anime/1659/154920l.jpg,True,,School,Shounen
55825,Jigokuraku 2nd Season,Hell's Paradise Season 2,地獄楽第二期,TV,,24,Currently Airing,Manga,winter 2026,MAPPA,Fujipacific Music;Twin Engine;dugout,Action;Adventure;Supernatural,R - 17+ (violence & profanity),8.14,7623.0,501.0,1106,249285,2166,54518,13,944,172,193638,2026-01-11,,Sundays,23:45,Second season of Jigokuraku.,,https://cdn.myanimelist.net/images/anime/1772/154456l.jpg,True,,Gore;Historical;Samurai,Shounen
60058,[Oshi no Ko] 3rd Season,[Oshi No Ko] Season 3,【推しの子】 第3期,TV,11.0,23,Currently Airing,Manga,winter 2026,Doga Kobo,Delfi Sound;Shueisha;CyberAgent;Kadokawa,Drama,PG-13 - Teens 13 or older,8.41,3624.0,218.0,1592,167760,756,20759,32,587,133,146249,2026-01-14,,Wednesdays,23:00,"The story moves on to a new stage──half a year has passed since the release of ""POP IN 2."" Thanks to Mem-cho's hard work, B-Komachi are on the verge of their big break. Aqua continues to grow as a personality, while Akane advances on her path to becoming a skilled actress. Meanwhile, Kana has lost her usual cheerfulness.  Finally, in her quest to uncover the truth behind Ai and Gorou's deaths, Ruby rises through the entertainment industry—using lies as her weapon.  (Source: Press Release, edited)",,https://cdn.myanimelist.net/images/anime/1979/153329l.jpg,True,,Reincarnation;Showbiz,Seinen
56009,Yuusha-kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku,Sentenced to Be a Hero,勇者刑に処す 懲罰勇者9004隊刑務記録,TV,12.0,25,Currently Airing,Light novel,winter 2026,Studio KAI,Sammy;Kansai TV;Bit grooove promotion,Action;Adventure;Fantasy,R - 17+ (violence & profanity),8.48,21140.0,167.0,1676,155999,629,94144,9,983,633,60230,2026-01-03,,Thursdays,22:30,"""Hero"" is the worst punishment in the world. Those convicted of heinous crimes are sentenced to become ""Heroes"" and forced to enter the mandatory military service in the war against the Demon Lords. These convicts are not even allowed to die—if killed, they will be resurrected to fight another day.  Hero Xylo Forbartz, former head of the Order of the Holy Knights, leads a penal unit of deplorables fighting on the front lines. It is in these direst of circumstances that he meets Teoritta, one of the world's strongest weapons. ""When every last enemy has been defeated, you are to shower me with praise and pat my head."" In order to survive and to take revenge on those who wronged him, he makes a pact with the goddess and launches headfirst into a maelstrom of war and intrigue.  (Source: Official site, edited)",,https://cdn.myanimelist.net/images/anime/1062/151911l.jpg,True,,,
59229,Enen no Shouboutai: San no Shou Part 2,Fire Force Season 3 Part 2,炎炎ノ消防隊 参ノ章 第2クール,TV,13.0,24,Currently Airing,Manga,winter 2026,David Production,Mainichi Broadcasting System;Kodansha;Magic Capsule;Crunchyroll;DMM.com;ADK Marketing Solutions;Sankyo,Action;Fantasy;Sci-Fi,PG-13 - Teens 13 or older,7.97,4891.0,747.0,2041,121556,238,32600,17,460,113,88366,2026-01-10,,Saturdays,01:53,Second part of Enen no Shouboutai: San no Shou.,,https://cdn.myanimelist.net/images/anime/1508/152472l.jpg,True,,Urban Fantasy,Shounen
55830,Fate/strange Fake,Fate/strange Fake,Fate/strange Fake,TV,13.0,24,Currently Airing,Light novel,winter 2026,A-1 Pictures,Aniplex;Notes;Tokyo MX;BS11;Contents Seed;INSPION Edge,Action;Fantasy,R - 17+ (violence & profanity),8.42,8303.0,206.0,2287,102987,420,37605,1,1818,363,63200,2026-01-03,,Saturdays,23:30,"Fate/strange Fake centers around an imperfect copy of a Grail War based on the Third Holy Grail War in Fuyuki. Following the conclusion of the third Grail War, a US-based organization with magi distinct from the London-based Mage Association, used data from Fuyuki's Grail War to plan their own ritual. Seventy years later, they used the city of Snowfield as the Sacred Land for their own Grail War. However, they were unable to successfully replicate every aspect of the ritual, resulting in it acting only as an imitation that has lost the Saber class and allowed for the summoning of strange Servants due to the blurring of the definition of a ""hero.""  Rohngall and his pupil, Faldeus, have been dispatched by the Mage's Association to investigate the city and the state of the war. Faldeus, a US organization spy, has Rohngall sniped upon his arrival, despite knowing that Rohngall is a puppet. He declares that their Holy Grail War has been in development and is real, causing a commotion at the Clock Tower, and that he wishes to ""advertise"" the project to the Association.  (Source: MAL News)",,https://cdn.myanimelist.net/images/anime/1752/150192l.jpg,True,,Urban Fantasy,
48820,Mahou Shoujo Madoka★Magica Movie 4: Walpurgis no Kaiten,Puella Magi Madoka Magica the Movie - Walpurgisnacht: Rising,劇場版 魔法少女まどか☆マギカ〈ワルプルギスの廻天〉,Movie,1.0,0,Not yet aired,Original,None None,Shaft,Aniplex,Drama;Suspense,PG-13 - Teens 13 or older,,,,2729,78443,396,8,1,2,0,78432,2026-02-01,,,,,,https://cdn.myanimelist.net/images/anime/1784/151057l.jpg,True,,Mahou Shoujo;Psychological,
61469,Steel Ball Run: JoJo no Kimyou na Bouken,Steel Ball Run: JoJo's Bizarre Adventure,スティール・ボール・ラン ジョジョの奇妙な冒険,ONA,,0,Not yet aired,Manga,None None,David Production,Warner Bros. Japan,Action;Adventure;Mystery;Supernatural,R - 17+ (violence & profanity),,,,2858,72404,781,26,0,6,2,72370,2026-03-19,,,,"In the American Old West, the world's greatest race is about to begin. Thousands line up in San Diego to travel over six thousand kilometers for a chance to win the grand prize of fifty million dollars. With the era of the horse reaching its end, contestants are allowed to use any kind of vehicle they wish. Competitors will have to endure grueling conditions, traveling up to a hundred kilometers a day through uncharted wastelands. The Steel Ball Run is truly a one-of-a-kind event.  The youthful Johnny Joestar, a crippled former horse racer, has come to San Diego to watch the start of the race. There he encounters Gyro Zeppeli, a racer with two steel balls at his waist instead of a gun. Johnny witnesses Gyro using one of his steel balls to unleash a fantastical power, compelling a man to fire his gun at himself during a duel. In the midst of the action, Johnny happens to touch the steel ball and feels a power surging through his legs, allowing him to stand up for the first time in two years. Vowing to find the secret of the steel balls, Johnny decides to compete in the race, and so begins his bizarre adventure across America on the Steel Ball Run.  [Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/1448/154111l.jpg,True,,Historical,Seinen;Shounen
58505,Mato Seihei no Slave 2,Chained Soldier Season 2,魔都精兵のスレイブ2,TV,12.0,23,Currently Airing,Manga,winter 2026,Passione;Hayabusa Film,Pony Canyon;AT-X;DAX Production;MAGNET;Yostar,Action;Fantasy;Ecchi,R+ - Mild Nudity,7.49,3467.0,2127.0,3015,66287,447,20066,7,444,220,45550,2026-01-08,,Thursdays,23:00,Second season of Mato Seihei no Slave.,,https://cdn.myanimelist.net/images/anime/1668/148737l.jpg,True,,Harem,Shounen
